Wall time,Step,Value
1707038708.6778877,0,31.895784378051758
1707038719.6046417,1,34.89518737792969
1707038733.4238386,2,34.84584426879883
1707038747.1441329,3,38.01439666748047
1707038760.7750027,4,33.29126739501953
1707038774.4809716,5,31.243366241455078
1707038787.9277017,6,35.181236267089844
1707038801.4153311,7,36.19612121582031
1707038814.9053683,8,32.348941802978516
1707038828.5264926,9,35.11675262451172
1707038842.0620177,10,37.48945236206055
1707038855.8456306,11,36.19304275512695
1707038869.4836009,12,36.75124740600586
1707038883.185334,13,35.26122283935547
1707038896.7693243,14,32.96685791015625
1707038910.373035,15,35.43084716796875
1707038924.0456414,16,32.5736083984375
1707038937.611233,17,35.551483154296875
1707038951.2778711,18,38.40100860595703
1707038964.85632,19,35.0155143737793
1707038978.5558095,20,33.749755859375
1707038992.2960217,21,32.84719467163086
1707039006.2263875,22,31.93029022216797
1707039020.019459,23,33.71405792236328
1707039033.911937,24,36.406986236572266
1707039047.6746197,25,34.07240295410156
1707039061.5737405,26,36.0250129699707
1707039075.3982942,27,36.329505920410156
1707039089.2806628,28,37.90953063964844
1707039103.2995987,29,37.995025634765625
1707039117.1265469,30,36.794410705566406
1707039131.002342,31,36.35251998901367
1707039144.8343227,32,35.0128059387207
1707039158.9052536,33,38.37886428833008
1707039172.8785808,34,32.33306884765625
1707039187.019592,35,36.62251281738281
1707039200.981891,36,39.224552154541016
1707039215.0291448,37,30.975482940673828
1707039228.963961,38,30.944337844848633
1707039243.0624707,39,34.82699966430664
1707039257.0533392,40,41.660736083984375
1707039271.4999776,41,39.26063537597656
1707039285.5270991,42,33.090702056884766
1707039299.4816415,43,37.34992218017578
1707039313.5123112,44,34.206298828125
1707039327.4134722,45,31.096508026123047
1707039341.3661268,46,39.18062973022461
1707039355.297891,47,32.667171478271484
1707039369.4111216,48,38.1483268737793
1707039383.3625026,49,40.12387466430664
1707039397.43598,50,36.37860870361328
1707039411.4493034,51,34.970428466796875
1707039425.554587,52,37.800048828125
1707039439.492499,53,36.87784957885742
1707039453.5473962,54,36.1456298828125
1707039467.5651999,55,35.38618850708008
1707039481.5632865,56,32.65507888793945
1707039495.4822316,57,34.28715133666992
1707039509.354293,58,36.74058151245117
1707039523.4069831,59,33.89486312866211
1707039537.3855152,60,37.74384689331055
1707039553.0532007,61,35.82644271850586
1707039568.6357095,62,32.80366516113281
1707039582.6473358,63,30.072479248046875
1707039596.5338285,64,37.26011657714844
1707039610.454802,65,36.72471237182617
1707039624.3020787,66,31.683128356933594
1707039638.240923,67,35.472129821777344
1707039652.1218636,68,39.91740798950195
1707039666.0656936,69,32.807456970214844
1707039679.9149246,70,38.96436309814453
1707039693.9137642,71,36.96533203125
1707039707.78164,72,30.816574096679688
1707039721.8072278,73,38.17014694213867
1707039735.6599483,74,38.58845138549805
1707039749.4859917,75,45.08552551269531
1707039763.6487868,76,41.4807243347168
1707039777.428409,77,36.0102653503418
1707039791.4058642,78,52.906002044677734
1707039805.9471529,79,35.660377502441406
1707039819.952493,80,36.647483825683594
1707039833.7986755,81,36.95460891723633
1707039847.7468483,82,37.96318054199219
1707039861.6181417,83,37.41077423095703
1707039875.6388311,84,33.333580017089844
1707039889.5029137,85,35.28990173339844
1707039903.567139,86,31.672407150268555
1707039917.5565696,87,33.52396774291992
1707039931.6382735,88,35.81178665161133
1707039945.6052122,89,32.07377243041992
1707039959.4475055,90,36.51900100708008
