HINDUNILVR_Close,ICICIBANK_Close,LT_Close,BHARTIARTL_Close,INFY_Close,ITC_Close,HDFCBANK_Close,SBIN_Close,RELIANCE_Close,TCS_Close
1322.5,403.1,476.1,204.15,7828.4,1376.85,538.55,621.75,1059.5,1319.0
1301.0,386.8,480.65,203.95,7655.8,1379.2,520.35,620.1,1037.1,1318.65
1269.0,383.8,471.0,207.35,7650.4,1375.1,531.3,616.45,1028.0,1208.7
1312.0,378.3,475.325,205.45,7792.0,1372.45,540.75,620.65,1060.1,1116.2
1312.0,383.45,486.5,205.5,7779.2,1399.1,545.75,628.5,1085.8,1142.4
1322.0,396.45,496.225,207.25,7997.0,1393.6,540.2,620.4,1095.0,1166.75
1337.5,408.1,497.6,207.9,7953.6,1384.75,540.0,624.15,1093.4,1156.95
1377.5,404.7,487.8,205.6,7834.4,1381.25,538.65,624.8,1094.3,1136.7
1433.5,383.9,483.9,202.35,7656.6,1401.7,537.45,619.95,1078.0,1115.65
1445.0,379.15,485.625,207.45,7622.4,1450.3,539.85,604.2,1087.7,1114.8
1375.5,359.95,483.3,206.4,7547.2,1437.7,535.0,584.85,1056.1,1131.1
1332.5,360.35,484.15,206.9,7660.6,1408.95,539.75,589.35,1067.7,1128.9
1324.5,362.45,484.75,210.95,7605.8,1413.7,540.3,599.15,1081.9,1108.6
1355.0,367.3,498.45,216.2,7750.4,1426.4,539.15,607.3,1082.7,1120.85
1349.5,376.7,516.45,217.8,7980.6,1416.2,546.55,616.2,1082.3,1136.85
1341.0,377.7,505.825,218.55,8086.2,1441.0,540.95,617.1,1098.2,1167.5
1322.0,382.3,511.35,222.85,8386.4,1483.0,540.25,621.7,1106.8,1175.25
1327.0,392.05,508.275,221.35,8236.8,1472.05,540.75,617.25,1088.5,1152.5
1316.5,393.2,500.95,219.95,8263.8,1476.25,535.0,615.2,1085.0,1149.1
1305.5,391.7,507.5,219.4,8244.6,1467.0,529.35,618.85,1078.1,1146.75
1316.0,392.2,510.55,216.6,8131.6,1480.05,533.0,619.35,1072.5,1148.6
1326.5,398.1,515.45,222.5,8311.6,1487.25,539.6,633.4,1080.5,1154.3
1317.0,396.5,513.1,219.5,8255.8,1478.8,536.8,627.4,1051.9,1150.55
1305.0,390.65,515.3,214.35,8169.0,1485.5,534.95,641.25,1059.2,1142.7
1302.5,393.7,522.075,217.1,8387.0,1498.75,543.1,638.6,1048.6,1162.5
1300.5,397.45,538.5,214.7,8562.0,1497.65,537.65,649.0,1040.9,1169.65
1278.5,402.55,540.475,219.3,8538.2,1491.85,549.95,650.45,1062.3,1223.8
1293.0,399.3,540.5,219.95,8622.0,1502.55,546.5,662.7,1062.0,1234.85
1294.5,397.4,539.825,221.0,8684.8,1516.0,540.25,677.45,1061.3,1260.55
1320.5,400.0,552.475,227.8,8820.8,1531.65,537.95,683.65,1060.8,1290.05
1382.0,399.05,547.825,225.0,8929.4,1570.7,540.65,668.3,1062.5,1269.2
1444.5,389.7,529.075,220.75,8912.0,1557.45,540.2,662.25,1053.6,1319.1
1432.5,392.05,524.0,223.95,9001.8,1599.25,539.55,670.45,1070.0,1334.25
1490.0,399.4,525.6,222.5,8888.0,1591.55,535.95,660.2,1082.0,1304.5
1473.5,392.15,542.1,220.25,8805.4,1560.9,539.75,655.3,1059.7,1268.55
1468.0,393.0,556.325,220.9,9023.4,1582.55,545.8,662.45,1106.3,1293.15
1506.0,397.25,546.625,219.4,8965.4,1581.65,539.1,665.4,1110.4,1281.6
1476.0,393.7,550.3,219.35,8865.8,1581.4,553.25,682.35,1104.6,1280.4
1435.0,405.35,553.625,220.85,8931.4,1550.25,588.35,685.95,1095.7,1277.65
1424.5,419.6,552.4,221.25,9185.0,1580.9,585.85,689.9,1116.9,1292.1
1478.0,413.65,567.0,220.8,8947.0,1575.75,579.1,689.4,1118.1,1277.3
1459.0,408.6,550.525,220.1,8849.0,1562.35,576.3,680.65,1133.1,1266.15
1497.0,423.75,574.925,222.15,8896.2,1572.15,582.3,681.85,1139.2,1271.65
1480.0,433.95,570.55,227.45,8940.6,1570.6,593.5,686.2,1148.1,1266.05
1491.0,433.45,570.825,239.75,9026.6,1564.35,591.15,689.0,1149.9,1272.15
1492.0,417.05,563.375,234.75,9121.8,1549.25,595.45,679.95,1180.5,1277.7
1493.5,416.0,557.675,233.7,9152.4,1546.15,597.15,667.4,1200.5,1267.65
1484.0,405.15,550.2,235.3,9484.4,1535.4,598.6,657.05,1261.0,1295.9
1526.5,418.2,551.95,236.7,9574.0,1540.75,602.6,665.85,1292.3,1305.1
1544.0,420.7,567.325,238.4,9556.2,1574.75,590.05,661.25,1309.1,1333.35
1553.5,418.4,558.35,238.4,9377.0,1573.3,580.55,683.2,1301.2,1307.4
1632.0,418.35,568.4,238.05,9252.2,1602.95,582.45,678.6,1309.3,1325.75
1624.5,417.75,574.05,239.6,9353.6,1636.85,599.65,671.65,1297.3,1316.45
1628.0,417.85,561.925,241.35,9170.8,1592.5,590.0,662.05,1259.1,1323.55
1627.5,416.95,567.925,243.3,9298.6,1614.8,601.6,672.95,1283.7,1332.55
1640.5,425.75,566.125,243.1,9433.0,1662.1,636.05,681.9,1285.1,1358.1
1648.5,421.25,591.4,245.4,9404.2,1670.55,618.05,706.25,1280.2,1352.4
1643.0,429.25,584.85,247.65,9576.8,1683.15,631.95,711.65,1288.8,1359.05
1628.0,432.05,591.75,241.65,9321.2,1673.3,633.1,704.3,1276.1,1320.2
1631.5,431.95,602.975,243.8,9382.6,1676.3,646.55,720.8,1290.4,1323.1
1583.5,422.0,599.7,240.95,9279.6,1680.85,640.55,710.25,1227.9,1309.65
1586.5,424.25,612.25,253.2,9339.8,1697.75,651.8,717.7,1240.6,1311.1
1582.0,452.35,623.5,256.2,9263.2,1705.65,663.95,714.75,1267.8,1326.05
1587.5,468.05,625.25,258.45,8885.0,1744.2,658.05,717.9,1276.6,1285.9
1567.0,463.8,631.625,254.2,8821.6,1728.85,642.85,726.4,1261.9,1270.75
1556.5,446.0,619.75,253.1,8543.4,1764.95,645.2,712.5,1283.0,1225.0
1563.0,441.3,630.6,256.1,8783.6,1767.6,630.6,719.25,1333.3,1248.45
1599.5,443.65,644.475,257.8,9088.0,1738.75,627.75,716.55,1323.6,1322.2
1599.0,440.7,644.0,254.9,9025.6,1698.55,639.75,721.5,1329.3,1319.15
1602.5,440.6,647.8,249.9,8933.2,1673.25,641.4,724.85,1358.2,1308.25
1584.5,438.8,623.925,253.8,8836.0,1635.3,641.6,709.8,1356.5,1290.3
1617.0,454.8,628.65,266.65,8955.0,1644.1,648.5,721.1,1379.1,1293.95
1655.0,493.4,621.8,267.4,8915.6,1665.8,674.65,743.2,1375.1,1284.35
1640.5,509.25,615.725,275.3,8905.6,1693.6,678.25,751.65,1382.3,1265.25
1643.5,528.2,614.475,273.6,8922.4,1692.6,705.2,775.15,1397.7,1284.5
1666.5,534.45,634.0,283.15,9073.8,1682.85,699.45,800.25,1406.7,1268.8
1741.0,538.4,625.9,286.35,9058.2,1662.9,676.5,789.95,1415.5,1252.2
1712.0,520.4,624.5,286.25,9196.8,1671.2,669.0,803.55,1482.9,1290.3
1678.5,522.65,645.675,283.6,9424.2,1718.55,676.75,810.55,1429.0,1300.75
1675.0,513.3,681.65,284.2,9254.0,1736.05,684.5,808.45,1458.4,1295.25
1653.0,500.15,666.975,293.6,9166.0,1739.9,674.15,805.75,1451.5,1285.4
1619.0,478.1,655.475,290.25,9082.6,1723.5,657.75,778.9,1422.6,1283.05
1605.5,482.6,662.725,290.9,9056.4,1699.95,654.3,777.05,1415.3,1284.4
1618.5,494.05,662.0,303.5,9260.0,1736.7,660.25,807.25,1438.9,1313.05
1697.5,506.95,673.175,311.4,9173.6,1726.35,661.15,817.4,1435.2,1312.85
1686.0,512.75,661.35,310.6,9045.8,1692.45,660.2,811.05,1408.4,1282.85
1715.5,504.75,663.725,318.45,8999.8,1700.45,647.2,807.05,1399.6,1269.05
1728.5,503.9,658.175,320.05,9271.6,1709.9,656.1,816.95,1429.9,1299.15
1687.0,507.6,657.675,318.9,9194.6,1694.8,663.0,810.55,1416.7,1313.7
1677.0,498.2,666.4,312.65,9205.6,1684.45,658.85,805.4,1411.5,1325.35
1669.0,491.55,662.55,306.35,9259.8,1690.2,657.6,789.95,1398.6,1317.85
1649.0,480.45,638.575,303.55,9140.8,1693.5,648.6,778.25,1370.3,1316.05
1620.0,488.25,645.2,311.0,9056.8,1696.85,651.6,774.5,1389.7,1295.7
1619.5,484.5,663.575,314.25,9087.2,1708.3,649.45,781.65,1392.7,1323.65
1636.0,481.6,663.25,311.2,9077.2,1716.6,634.7,781.6,1397.5,1364.75
1623.5,467.95,666.15,317.35,9204.8,1702.25,638.8,770.8,1400.7,1355.35
1666.0,477.1,671.3,315.75,9387.6,1709.05,646.6,787.85,1415.2,1384.35
1655.0,481.8,667.05,315.25,9504.4,1731.65,640.25,796.3,1438.8,1404.85
1679.0,483.85,668.35,316.15,9702.6,1731.75,631.85,799.6,1453.4,1424.25
1691.0,481.5,656.175,320.2,9542.8,1732.1,636.3,806.1,1461.0,1427.2
1665.0,484.5,663.1,318.7,9419.0,1792.45,640.2,817.05,1460.7,1410.25
