HINDUNILVR_Close,HINDUNILVR_VWAP,HINDUNILVR_Volume,HINDUNILVR_Turnover,HINDUNILVR_Deliverable Volume,ICICIBANK_Close,ICICIBANK_VWAP,ICICIBANK_Volume,ICICIBANK_Turnover,ICICIBANK_Deliverable Volume,LT_Close,LT_VWAP,LT_Volume,LT_Turnover,LT_Deliverable Volume,BHARTIARTL_Close,BHARTIARTL_VWAP,BHARTIARTL_Volume,BHARTIARTL_Turnover,BHARTIARTL_Deliverable Volume,INFY_Close,INFY_VWAP,INFY_Volume,INFY_Turnover,INFY_Deliverable Volume,ITC_Close,ITC_VWAP,ITC_Volume,ITC_Turnover,ITC_Deliverable Volume,HDFCBANK_Close,HDFCBANK_VWAP,HDFCBANK_Volume,HDFCBANK_Turnover,HDFCBANK_Deliverable Volume,SBIN_Close,SBIN_VWAP,SBIN_Volume,SBIN_Turnover,SBIN_Deliverable Volume,RELIANCE_Close,RELIANCE_VWAP,RELIANCE_Volume,RELIANCE_Turnover,RELIANCE_Deliverable Volume,TCS_Close,TCS_VWAP,TCS_Volume,TCS_Turnover,TCS_Deliverable Volume,Date
1445.0,144.34,13.6487272548183,30.13381280111457,12.958005110302972,371.35,372.94,12.929404645933982,30.363759852214443,12.133910471390749,488.4,979.86,12.823946559860287,31.2242838176996,12.2701501229034,228.3,224.57,14.550366699573338,31.47748081600043,13.990651394989,8478.2,2107.98,13.251667347054507,32.418079013863526,12.290321877975073,1313.15,1312.54,11.943271785768829,30.63591642287461,11.185004561258774,525.25,524.22,11.771883936302888,29.546722972998083,11.279794707122951,655.75,656.76,14.572313995581268,32.57255702672281,12.89899730133332,1087.7,540.0,15.742452077564792,33.54694490800293,14.003892877839194,1353.25,1346.52,13.29087501470599,32.009078417023275,12.18332077348399,2005-01-03
1463.0,147.04,14.390854577665324,30.894473456768164,13.631178982435454,373.9,371.71,12.84176283826963,30.272790309044368,11.916241599020111,487.1,980.93,11.950857763215897,30.352287765077204,11.166582674313592,226.1,227.17,14.799112962235156,31.737748082859003,14.11655766906729,8360.2,2098.78,13.367352957044153,32.52938836358282,12.407898582534688,1314.5,1312.01,11.951548070236376,30.64378887166357,10.898145743484296,519.45,523.22,12.318534884152063,30.09146334477598,11.83166279223521,649.9,651.35,14.720792919458791,32.7127585077826,12.522021423690264,1062.5,533.48,15.475323853634352,33.26767278838808,14.316568836134271,1341.25,1344.04,13.3413189714548,32.057678772697706,12.234144906523364,2005-01-04
1445.5,145.29,14.105024451606685,30.59670391119169,13.265483154199105,361.75,364.29,13.672340865799748,31.083211141820858,12.781626459945338,479.625,971.52,12.892270737001912,31.284054817865997,12.16240284987078,210.35,212.22,15.422301369917284,32.292866491358595,14.782006072011455,8210.0,2045.59,14.142918264152405,33.27928334221875,13.208306183675573,1296.8,1296.66,12.648399918370906,31.328872994931142,12.207721285775698,500.05,505.04,12.89618271874512,30.63373987282225,12.25678477107182,617.45,625.1,15.40876583501803,33.3596031422862,13.29246726821571,1059.9,526.97,15.898650751191733,33.678712949896294,14.539341635764297,1325.0,1313.06,13.998282013538592,32.69131950111439,12.654849446286502,2005-01-05
1418.5,142.22,14.34215795475338,30.812473050342263,13.800390828765115,353.4,356.61,13.408283398354772,30.7978479921323,12.105113540548842,469.975,944.53,12.26053715629158,30.624147983357727,11.43850359740265,211.2,214.01,15.513156947244635,32.39210974306132,14.964683822940492,8175.0,2048.62,14.33991003868599,33.477759546027414,13.20974585219532,1276.7,1277.22,12.316356521534995,30.981723954993186,11.707990477911546,485.15,489.22,13.08767047821302,30.79340726351442,12.62228974327524,604.3,612.49,15.32012247852392,33.250584742835166,12.59084513041325,1052.4,530.9,15.697689326722855,33.48518877155416,14.01494075705613,1320.45,1320.02,13.816371187516395,32.514695522562725,12.281634560197034,2005-01-06
1410.5,141.44,13.502423152330463,29.96722081796751,12.564128136075755,358.7,357.56,12.529267845371622,29.92149089600611,11.083771989848264,487.25,963.27,12.581288146179135,30.964550746315457,12.00916320102024,210.15,206.9,15.443625955155094,32.288806063124674,14.705388318278809,8203.2,2023.63,14.554469662612362,33.680043731923206,13.38642005508616,1300.2,1288.5,12.298820454355074,30.97297842012107,11.709223888694977,490.25,489.34,12.48710767526016,30.19308266537572,11.840111864199296,615.65,613.27,14.888313635878244,32.820037389459856,12.081314087387362,1084.5,538.72,15.859518685610997,33.661632287039026,14.504067720490252,1339.95,1333.76,13.767256849876544,32.47594069247596,12.647789319643833,2005-01-07
1427.5,142.83,14.524822383832344,30.999369671432603,13.996497891745092,348.9,354.87,12.72225887553826,30.106949513225413,11.611575515736568,486.35,980.03,11.822642964282622,30.22315015276562,11.096591504296956,203.55,204.24,14.9858045444282,31.81803159747769,14.368484336511154,7979.6,2026.27,14.247773378457817,33.374648864268465,13.351737080953567,1274.45,1280.66,11.905892800248411,30.57395230790234,11.228092662823174,489.75,499.41,13.401943215220625,31.12829786452505,12.708824766099603,599.95,611.56,14.95550116637506,32.8844474595837,12.495756463152594,1068.3,539.93,15.489781823068858,33.294140132351124,14.37592830995483,1327.45,1343.71,13.753843643149164,32.469958037469375,12.723526255586386,2005-01-10
1411.5,141.97,13.87260991450482,30.34114372278041,13.197839983979108,350.75,349.84,12.895452739520874,30.265866513871465,11.60145818413178,469.5,947.58,12.342625095163076,30.70945848869048,11.886727892569551,199.0,201.58,14.49505057961799,31.314155473659824,13.739675402780623,7886.6,1987.63,14.571726429991202,33.67935129724432,13.526092312569428,1271.4,1277.41,11.81271148816425,30.4782294829667,10.70998573958253,483.4,483.86,12.38468315824347,30.079412929972783,11.789511200154266,588.25,595.96,15.049270973304486,32.9523677494255,12.32674483688725,1051.5,530.36,15.256403656969193,33.04288965838786,14.397794331918975,1313.75,1323.26,13.813806106211317,32.514583980099665,12.386241887755986,2005-01-11
1394.0,138.01,14.69854973376638,31.13882514695132,14.199078326397352,345.1,345.83,12.899647234738028,30.25853197299824,11.771304877373252,461.425,935.1,12.656832928552909,31.01041392480822,11.797811131119955,195.95,198.58,14.238594865672647,31.04271561358309,13.548933532265972,7625.0,1954.67,15.187912109364214,34.27881240704264,13.958120614522002,1271.05,1273.28,12.782711290413488,31.444991546752863,12.121429371461067,480.95,480.76,11.862729860652966,29.55101568569591,11.018104415345954,573.2,579.56,14.98802272570767,32.86321247290576,12.76130455257196,1036.4,520.86,15.825474199835652,33.59388559719146,14.86937928391627,1298.05,1328.27,14.767169978076073,33.47172716409219,13.061296157655878,2005-01-12
1400.5,140.06,14.009156913139243,30.464119300412975,13.51387289095544,354.05,352.67,12.915233421316982,30.293681367075497,11.972891384545376,459.65,923.44,12.952914609593003,31.2939421975816,12.386542488960654,207.6,201.58,15.251767253136835,32.07088479561667,14.706016090592575,7873.4,1966.8,14.599995949585226,33.69708297837449,13.764766586355544,1244.45,1255.31,12.55089208993386,31.19895189989206,11.896424407019197,498.9,499.17,13.198568577408947,30.924438475434386,12.700707909897435,593.05,589.32,14.69901649366947,32.59091563721471,12.1944301337461,1040.2,522.25,15.55627879244333,33.32734503872797,14.949703288183422,1292.9,1305.66,15.05959137398538,33.74698418189745,13.38284124836523,2005-01-13
1401.5,139.86,13.992438428281488,30.44599829584429,13.519761366968035,351.15,352.99,13.165805935247164,30.545172408710872,12.147744135630049,454.35,919.12,12.585703573040416,30.922042655911344,12.117612947502517,209.65,213.31,15.875977464467828,32.75166706995326,15.223154388618475,7896.0,1981.35,14.0312314292228,33.13568817226111,12.88166666684253,1253.0,1246.06,12.646122738387092,31.28679218428788,11.933449942749286,514.95,512.22,13.58633887391172,31.33802709996701,13.13660547553398,578.4,588.56,15.072776515626137,32.96338376541993,12.490096785898409,1027.8,517.12,15.42932906158317,33.19052553272231,14.636276246952686,1296.4,1298.62,14.493402974004995,33.175389383092906,13.405579492296509,2005-01-14
