Index Name,Date,Open,High,Low,Close
NIFTY FMCG,2021-01-01,34236.7,34435.2,34212.2,34391.85
NIFTY FMCG,2020-12-31,34255.1,34324.95,34109.5,34177.1
NIFTY FMCG,2020-12-30,34323.95,34362.7,34039.2,34313.7
NIFTY FMCG,2020-12-29,34313.7,34377.4,33982.35,34181.95
NIFTY FMCG,2020-12-28,34262.05,34369.4,34079.45,34181.1
NIFTY FMCG,2020-12-24,34191.2,34288.45,33769.35,34115.65
NIFTY FMCG,2020-12-23,33392.5,34040.95,33284.75,33966.0
NIFTY FMCG,2020-12-22,33195.7,33544.55,32633.75,33329.05
NIFTY FMCG,2020-12-21,34121.75,34121.75,32570.75,33151.1
NIFTY FMCG,2020-12-18,34090.05,34173.5,33878.2,34102.7
NIFTY FMCG,2020-12-17,34221.4,34234.8,33955.35,34013.55
NIFTY FMCG,2020-12-16,34058.25,34352.75,34037.3,34195.85
NIFTY FMCG,2020-12-15,34329.5,34360.8,33906.1,33967.9
NIFTY FMCG,2020-12-14,34505.35,34596.05,34334.6,34411.65
NIFTY FMCG,2020-12-11,34245.25,34427.7,33987.25,34364.85
NIFTY FMCG,2020-12-10,33161.4,34122.5,33002.0,34054.8
NIFTY FMCG,2020-12-09,33019.65,33182.35,32954.4,33125.5
NIFTY FMCG,2020-12-08,32969.4,33086.0,32572.25,32849.85
NIFTY FMCG,2020-12-07,32358.6,32907.45,32351.95,32866.9
NIFTY FMCG,2020-12-04,32044.05,32404.85,32016.5,32356.75
NIFTY FMCG,2020-12-03,32022.25,32027.65,31754.05,31908.65
NIFTY FMCG,2020-12-02,31811.15,31918.8,31591.85,31820.25
NIFTY FMCG,2020-12-01,32090.8,32090.8,31655.65,31705.25
NIFTY FMCG,2020-11-27,31786.4,31898.2,31431.5,31718.8
NIFTY FMCG,2020-11-26,31548.45,31765.5,31305.65,31701.3
NIFTY FMCG,2020-11-25,31926.35,32006.0,31350.35,31441.7
NIFTY FMCG,2020-11-24,31600.4,31878.1,31576.95,31832.2
NIFTY FMCG,2020-11-23,31593.6,31610.2,31358.8,31568.1
NIFTY FMCG,2020-11-20,31234.8,31531.7,31116.05,31454.35
NIFTY FMCG,2020-11-19,30833.7,31353.8,30783.35,31085.2
NIFTY FMCG,2020-11-18,31229.5,31252.25,30886.2,30952.85
NIFTY FMCG,2020-11-17,31572.85,31572.85,31240.65,31291.45
NIFTY FMCG,2020-11-14,31430.15,31451.75,31282.85,31336.1
NIFTY FMCG,2020-11-13,31270.2,31393.45,31151.0,31222.1
NIFTY FMCG,2020-11-12,30840.05,31318.6,30776.55,31240.2
NIFTY FMCG,2020-11-11,30589.05,30886.75,30289.2,30845.6
NIFTY FMCG,2020-11-10,30636.6,30646.8,30086.05,30494.75
NIFTY FMCG,2020-11-09,30388.8,30546.85,30247.35,30453.7
NIFTY FMCG,2020-11-06,30293.4,30393.1,30083.4,30150.65
NIFTY FMCG,2020-11-05,29898.45,30216.75,29805.55,30180.05
NIFTY FMCG,2020-11-04,29565.25,29858.4,29537.95,29612.4
NIFTY FMCG,2020-11-03,29622.75,29655.8,29434.05,29526.35
NIFTY FMCG,2020-11-02,29538.6,29568.9,29307.25,29441.45
NIFTY FMCG,2020-10-30,29682.8,29829.15,29329.8,29428.45
NIFTY FMCG,2020-10-29,29720.4,29847.5,29595.75,29663.45
NIFTY FMCG,2020-10-28,30240.3,30240.3,29882.55,29948.1
NIFTY FMCG,2020-10-27,29784.15,30208.1,29752.45,30163.7
NIFTY FMCG,2020-10-26,29927.7,29940.4,29635.35,29774.65
NIFTY FMCG,2020-10-23,29830.65,29861.9,29641.95,29782.2
NIFTY FMCG,2020-10-22,29671.85,29776.05,29526.35,29715.35
NIFTY FMCG,2020-10-21,30105.05,30139.25,29483.2,29684.1
NIFTY FMCG,2020-10-20,29997.1,30117.25,29744.65,29964.6
NIFTY FMCG,2020-10-19,29815.85,30151.0,29745.45,30068.85
NIFTY FMCG,2020-10-16,29802.2,29834.0,29546.05,29671.05
NIFTY FMCG,2020-10-15,30006.0,30107.0,29554.35,29644.8
NIFTY FMCG,2020-10-14,29918.15,29987.8,29754.1,29959.6
NIFTY FMCG,2020-10-13,30055.2,30257.6,29866.0,29926.7
NIFTY FMCG,2020-10-12,30107.35,30297.5,29890.05,30024.25
NIFTY FMCG,2020-10-09,30130.05,30258.7,29862.3,29923.9
NIFTY FMCG,2020-10-08,30262.95,30325.0,30006.55,30136.05
NIFTY FMCG,2020-10-07,30138.4,30310.45,30072.6,30168.8
NIFTY FMCG,2020-10-06,30228.35,30397.0,29965.05,30054.7
NIFTY FMCG,2020-10-05,30083.8,30217.25,29965.0,30112.15
NIFTY FMCG,2020-10-01,30149.15,30155.95,29894.05,30009.55
NIFTY FMCG,2020-09-30,29507.9,30015.95,29437.75,29841.75
NIFTY FMCG,2020-09-29,30026.1,30056.45,29396.8,29434.8
NIFTY FMCG,2020-09-28,29754.95,30001.6,29630.55,29886.2
NIFTY FMCG,2020-09-25,29371.9,29763.75,29221.1,29633.5
NIFTY FMCG,2020-09-24,29200.4,29275.95,28969.35,29044.95
NIFTY FMCG,2020-09-23,29426.0,29652.25,29149.15,29322.35
NIFTY FMCG,2020-09-22,29564.6,29583.85,29065.45,29312.4
NIFTY FMCG,2020-09-21,30491.75,30526.65,29381.35,29541.75
NIFTY FMCG,2020-09-18,30730.1,30758.65,30321.9,30460.85
NIFTY FMCG,2020-09-17,30822.7,30894.4,30613.45,30651.75
NIFTY FMCG,2020-09-16,30748.3,30865.9,30670.05,30837.55
NIFTY FMCG,2020-09-15,30846.25,30866.6,30617.9,30712.2
NIFTY FMCG,2020-09-14,31151.85,31153.8,30669.25,30760.5
NIFTY FMCG,2020-09-11,30736.5,31023.0,30730.55,30972.25
NIFTY FMCG,2020-09-10,30757.15,30824.0,30578.95,30778.75
NIFTY FMCG,2020-09-09,30534.6,30678.1,30461.0,30633.6
NIFTY FMCG,2020-09-08,31001.65,31052.65,30748.4,30818.45
NIFTY FMCG,2020-09-07,30897.7,31053.25,30407.85,31003.85
NIFTY FMCG,2020-09-04,30969.8,31156.25,30769.1,30828.65
NIFTY FMCG,2020-09-03,31155.6,31346.95,31100.7,31316.85
NIFTY FMCG,2020-09-02,31099.4,31248.35,30942.25,31084.35
NIFTY FMCG,2020-09-01,30727.5,31130.85,30525.3,30988.15
NIFTY FMCG,2020-08-31,31457.85,31457.85,30475.85,30595.15
NIFTY FMCG,2020-08-28,31410.8,31451.3,31203.7,31253.45
NIFTY FMCG,2020-08-27,31602.05,31636.6,31277.1,31314.45
NIFTY FMCG,2020-08-26,31528.0,31536.2,31313.65,31408.45
NIFTY FMCG,2020-08-25,31700.65,31724.4,31394.0,31460.3
NIFTY FMCG,2020-08-24,31692.25,31799.4,31606.8,31642.0
NIFTY FMCG,2020-08-21,31690.25,31724.15,31563.4,31604.4
NIFTY FMCG,2020-08-20,31445.6,31556.35,31307.1,31439.9
NIFTY FMCG,2020-08-19,31738.45,31911.25,31548.6,31586.05
NIFTY FMCG,2020-08-18,31626.75,31762.65,31559.7,31726.15
NIFTY FMCG,2020-08-17,31428.95,31600.0,31179.05,31545.15
NIFTY FMCG,2020-08-14,31763.35,31828.8,31115.5,31237.95
NIFTY FMCG,2020-08-13,31680.8,31867.8,31441.1,31668.15
NIFTY FMCG,2020-08-12,31690.3,31723.45,31537.9,31636.7
NIFTY FMCG,2020-08-11,31730.1,32155.5,31725.6,31767.75
NIFTY FMCG,2020-08-10,31597.05,31791.7,31584.65,31621.75
NIFTY FMCG,2020-08-07,31329.65,31597.0,31209.0,31490.6
NIFTY FMCG,2020-08-06,31010.25,31326.85,30926.25,31287.6
NIFTY FMCG,2020-08-05,31050.3,31090.1,30728.5,30863.6
NIFTY FMCG,2020-08-04,30903.5,31059.45,30782.85,30901.65
NIFTY FMCG,2020-08-03,30892.8,30985.0,30674.45,30759.8
NIFTY FMCG,2020-07-31,30734.8,31032.55,30677.65,30872.45
NIFTY FMCG,2020-07-30,31104.45,31134.55,30582.75,30696.4
